74.25,0.03,4,0.00,s1,-1,5,-4
74.25,0.03,4,0.00,s1,0,6,0
74.25,0.03,4,0.00,s1,0,2,-1
74.25,0.03,4,0.00,s1,-1,3,2
74.25,0.03,4,0.00,s1,1,-1,3
74.25,0.03,4,0.00,s1,-2,0,1
74.25,0.03,4,0.00,s1,-3,-1,-2
74.25,0.03,4,0.00,s1,-4,2,-1
74.25,0.03,4,0.00,s1,-1,2,-2
74.25,0.03,4,0.00,s1,-5,0,-4
74.25,0.03,4,0.00,s1,-2,1,4
74.25,0.03,4,0.00,s1,-2,2,-3
74.25,0.03,4,0.00,s1,6,2,4
74.25,0.03,4,0.00,s1,3,-3,-4
74.25,0.03,4,0.00,s1,-2,2,2
74.25,0.03,4,0.00,s1,4,5,0
74.25,0.03,4,0.00,s1,3,3,8
74.25,0.03,4,0.00,s1,-2,1,2
74.25,0.03,4,0.00,s1,0,5,-1
74.25,0.03,4,0.00,s1,-1,1,-5
74.25,0.03,4,0.00,s1,0,0,-2
74.25,0.03,4,0.00,s1,2,3,-1
74.25,0.03,4,0.00,s1,6,-1,-4
74.25,0.03,4,0.00,s1,2,-2,-1
74.25,0.03,4,0.00,s1,-2,0,0
74.25,0.03,4,0.00,s1,-2,6,-3
74.25,0.03,4,0.00,s1,-1,2,-4
74.25,0.03,4,0.00,s1,-2,2,-2
74.25,0.03,4,0.00,s1,-2,5,0
74.25,0.03,4,0.00,s1,-1,-3,0
74.25,0.03,4,0.00,s1,-2,-4,-1
74.25,0.03,4,0.00,s1,-1,1,-2
74.25,0.03,4,0.00,s1,-1,-1,1
74.25,0.03,4,0.00,s1,-3,1,2
74.25,0.03,4,0.00,s1,-3,0,3
74.25,0.03,4,0.00,s1,-2,-2,4
74.25,0.03,4,0.00,s1,-2,-2,-1
74.25,0.03,4,0.00,s1,3,1,0
74.25,0.03,4,0.00,s1,-5,-6,3
74.25,0.03,4,0.00,s1,1,4,0
74.25,0.03,4,0.00,s1,2,-3,-7
74.25,0.03,4,0.00,s1,1,-4,-1
74.25,0.03,4,0.00,s1,4,-1,-1
74.25,0.03,4,0.00,s1,0,1,-7
74.25,0.03,4,0.00,s1,0,1,2
74.25,0.03,4,0.00,s1,-3,3,0
74.25,0.03,4,0.00,s1,-4,3,7
74.25,0.03,4,0.00,s1,-1,-6,0
